,mean,std,layer,variable,distance_measure
SVHN,0.5445545563489163,0.016278614823460668,dense1,sign_rate_out,js_divergence
RSN,0.4644176807585956,0.01894448159513872,dense1,sign_rate_out,js_divergence
RSN_CIFAR,0.530449479408405,0.01772594148380593,dense1,sign_rate_out,js_divergence
RSN_CINIC,0.5655316476879302,0.014518309284808672,dense1,sign_rate_out,js_divergence
RSN_SVHN,0.5295848989106609,0.02054848797906313,dense1,sign_rate_out,js_divergence
CIFAR_SVHN,0.5421821793257559,0.015685736347243472,dense1,sign_rate_out,js_divergence
CINIC_CIFAR,0.5692837174053199,0.013785650451239041,dense1,sign_rate_out,js_divergence
SVHN_CINIC,0.5638704528696239,0.01754640899327224,dense1,sign_rate_out,js_divergence
within_WTs,0.5514606160426371,0.019200275455988,dense1,sign_rate_out,js_divergence
within_conditions,0.5296998822216266,0.04227055580664981,dense1,sign_rate_out,js_divergence
between_WTs_and_RSN,0.541855342002332,0.024416221317652368,dense1,sign_rate_out,js_divergence
between_WT_datasets,0.5584454498668999,0.019624437326851308,dense1,sign_rate_out,js_divergence
CIFAR,0.06012595310024798,0.008303203763177839,dense2,prune_rate_in,js_divergence
CINIC,0.0643680788971317,0.009692769779971414,dense2,prune_rate_in,js_divergence
SVHN,0.05572095164075284,0.00910735741107281,dense2,prune_rate_in,js_divergence
RSN,0.04371606417123468,0.00693607312962093,dense2,prune_rate_in,js_divergence
RSN_CIFAR,0.06644257205971975,0.010133768573785866,dense2,prune_rate_in,js_divergence
RSN_CINIC,0.22903595281121145,0.027289230786214144,dense2,prune_rate_in,js_divergence
RSN_SVHN,0.06406728523349725,0.011097780056630103,dense2,prune_rate_in,js_divergence
CIFAR_SVHN,0.05865812787534889,0.009816954318388029,dense2,prune_rate_in,js_divergence
CINIC_CIFAR,0.199702542982793,0.02815196800262525,dense2,prune_rate_in,js_divergence
SVHN_CINIC,0.16964916908257036,0.02915055777024167,dense2,prune_rate_in,js_divergence
within_WTs,0.060071661212710833,0.009716442491313102,dense2,prune_rate_in,js_divergence
within_conditions,0.055982761952341795,0.01153219450557646,dense2,prune_rate_in,js_divergence
between_WTs_and_RSN,0.11984860336814283,0.07928049994787124,dense2,prune_rate_in,js_divergence
between_WT_datasets,0.14266994664690408,0.06526163266467414,dense2,prune_rate_in,js_divergence
CIFAR,0.006100159561702845,0.00356731974638863,dense2,prune_rate_out,js_divergence
CINIC,0.0054002100292098835,0.0027729997325493154,dense2,prune_rate_out,js_divergence
SVHN,0.008187457912317333,0.0033939438739358802,dense2,prune_rate_out,js_divergence
RSN,0.0051759708748265,0.002356853947698595,dense2,prune_rate_out,js_divergence
RSN_CIFAR,0.006143475971862429,0.003130230094709259,dense2,prune_rate_out,js_divergence
RSN_CINIC,0.011632074428615585,0.004129882791680242,dense2,prune_rate_out,js_divergence
RSN_SVHN,0.010592885970225572,0.0038949268802731763,dense2,prune_rate_out,js_divergence
CIFAR_SVHN,0.011207116106486224,0.005038276820979655,dense2,prune_rate_out,js_divergence
CINIC_CIFAR,0.011219328213240008,0.005176864198703305,dense2,prune_rate_out,js_divergence
